year,month,day,day_of_week,homicide_type,hood_158,hood_140
2012,July,22,Sunday,Other,128,128
2012,August,1,Wednesday,Shooting,24,24
2012,August,7,Tuesday,Other,146,132
2012,August,24,Friday,Other,120,120
2012,September,8,Saturday,Shooting,146,132
2012,September,8,Saturday,Shooting,62,62
2012,September,15,Saturday,Other,108,108
2012,September,16,Sunday,Shooting,25,25
2012,September,18,Tuesday,Shooting,2,2
2012,September,18,Tuesday,Shooting,2,2
2012,October,11,Thursday,Shooting,24,24
2012,October,17,Wednesday,Other,142,137
2012,October,18,Thursday,Other,167,75
2012,October,23,Tuesday,Stabbing,71,71
2012,October,28,Sunday,Shooting,135,135
2012,October,29,Monday,Stabbing,85,85
2012,October,29,Monday,Shooting,31,31
2012,October,30,Tuesday,Shooting,115,115
2012,November,11,Sunday,Shooting,79,79
2012,November,12,Monday,Other,2,2
2012,November,14,Wednesday,Other,64,64
2012,November,17,Saturday,Stabbing,44,44
2012,November,29,Thursday,Shooting,12,12
2012,December,2,Sunday,Shooting,155,26
2012,December,20,Thursday,Stabbing,74,74
2013,January,1,Tuesday,Stabbing,27,27
2013,January,18,Friday,Shooting,72,72
2013,January,19,Saturday,Other,7,7
2013,January,19,Saturday,Other,172,93
2013,February,2,Saturday,Other,47,47
2013,February,6,Wednesday,Other,116,116
2013,February,6,Wednesday,Other,116,116
2013,February,10,Sunday,Shooting,163,82
2013,February,11,Monday,Shooting,25,25
2013,February,17,Sunday,Shooting,2,2
2013,February,24,Sunday,Shooting,21,21
2013,March,4,Monday,Stabbing,109,109
2013,March,6,Wednesday,Other,4,4
2013,March,13,Wednesday,Other,119,119
2013,March,21,Thursday,Shooting,71,71
2013,March,28,Thursday,Shooting,164,77
2013,March,30,Saturday,Shooting,31,31
2013,April,6,Saturday,Other,72,72
2013,April,25,Thursday,Shooting,144,131
2013,April,25,Thursday,Stabbing,38,38
2013,April,29,Monday,Other,25,25
2013,April,30,Tuesday,Stabbing,122,122
2013,May,16,Thursday,Other,54,54
2013,May,19,Sunday,Shooting,81,81
2013,May,24,Friday,Other,111,111
2013,May,29,Wednesday,Shooting,144,131
2013,June,3,Monday,Other,129,129
2013,June,16,Sunday,Shooting,151,51
2013,June,27,Thursday,Stabbing,57,57
2013,July,4,Thursday,Other,33,33
2013,July,9,Tuesday,Other,73,73
2013,July,13,Saturday,Other,50,50
2013,July,14,Sunday,Other,162,82
2013,July,15,Monday,Stabbing,12,12
2013,July,15,Monday,Stabbing,12,12
2013,July,15,Monday,Stabbing,12,12
2013,July,28,Sunday,Shooting,25,25
2013,August,5,Monday,Shooting,87,87
2013,August,12,Monday,Shooting,5,5
2013,August,23,Friday,Shooting,25,25
2013,August,23,Friday,Shooting,25,25
2013,September,3,Tuesday,Shooting,113,113
2013,September,12,Thursday,Stabbing,48,48
2013,September,14,Saturday,Stabbing,66,66
2013,September,17,Tuesday,Shooting,7,7
2013,September,20,Friday,Stabbing,112,112
2013,September,23,Monday,Shooting,73,73
2013,October,6,Sunday,Stabbing,170,76
2013,October,13,Sunday,Stabbing,113,113
2013,October,20,Sunday,Other,78,78
2013,November,1,Friday,Other,72,72
2013,November,9,Saturday,Other,94,94
2013,November,10,Sunday,Shooting,62,62
2013,November,24,Sunday,Shooting,2,2
2013,November,25,Monday,Stabbing,105,105
2013,December,26,Thursday,Other,23,23
2013,December,27,Friday,Other,130,130
2014,January,3,Friday,Other,74,74
2014,January,14,Tuesday,Other,126,126
2014,January,29,Wednesday,Shooting,8,8
2014,January,29,Wednesday,Other,141,137
2014,January,30,Thursday,Other,168,75
2014,February,2,Sunday,Stabbing,54,54
